,t_type,met_type,inferred_met_type
973778435,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
645451268,L5 ET VISp Lgr5,,L5 ET-3
644857353,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
1000742412,L6 IT VISp Car3,,L5/L6 IT Car3
898670093,L5 ET VISp Krt80,,L5 ET-3
841854478,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
698658322,L5 NP VISp Trhr Met,L5 NP,L5 NP
983850521,L6b P2ry12,,L6b
1055268377,L6 IT VISp Col18a1,,
950300190,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
681639459,L5 ET VISp C1ql2 Cdh13,L5 ET-3,L5 ET-3
918953508,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
951729703,L5 ET VISp Krt80,,L5 ET-2
645934635,L6 IT VISp Col18a1,,
820149803,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
889486893,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
929533489,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
907148849,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
936001075,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
898670132,L6 IT VISp Col18a1,,
948338231,L5 ET VISp Krt80,,L5 ET-3
971546167,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
742014521,L6 IT VISp Col18a1,,
889568825,L4 IT VISp Rspo1,,L4 IT
908639803,L5 ET VISp Krt80,,L5 ET-2
867765823,L6 IT VISp Penk Col27a1,,
912014913,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
907460164,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
965574215,L6 IT VISp Col18a1,,L6 IT-1
975429194,L5 ET VISp Lgr5,L5 ET-2,L5 ET-2
643501648,L4 IT VISp Rspo1,,L4 IT
652959315,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
929406559,L6 CT VISp Ctxn3 Sla,,L6 CT-1
990531168,L5 ET VISp Krt80,,L5 ET-2
904683111,L6 CT VISp Krt80 Sla,,L6 CT-2
740318831,L6 IT VISp Col23a1 Adamts2,L6 IT-1,L6 IT-1
898952816,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
796802673,L6 CT VISp Krt80 Sla,,L6 CT-2
711573106,L5 IT VISp Batf3,L4/L5 IT,L4/L5 IT
907357811,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
604098167,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
646565496,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
827903615,L5 ET VISp C1ql2 Ptgfr,L5 ET-3,L5 ET-3
841875079,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
927927945,L6 CT VISp Ctxn3 Sla,,L6 CT-1
992738956,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
701075085,L6 IT VISp Penk Col27a1,L6 IT-2,L6 IT-2
884596365,L6 IT VISp Penk Fst,L6 IT-1,L6 IT-1
623328910,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
912686733,L6 CT VISp Krt80 Sla,,L6 CT-2
853892758,L5 ET VISp Lgr5,,L5 ET-2
601628311,L5 IT VISp Col6a1 Fezf2,L5 IT-2,L5 IT-2
970079895,L6b Col8a1 Rprm,L6b,L6b
899444388,L6 CT VISp Krt80 Sla,,L6 CT-2
717094565,L6b VISp Crh,,L6b
922562221,L6 IT VISp Col23a1 Adamts2,L6 IT-1,L6 IT-1
901086894,L6 IT VISp Penk Fst,,L6 IT-1
645443249,L5 ET VISp Lgr5,,L5 ET-2
645435058,L5 IT VISp Col6a1 Fezf2,,L5 IT-2
701075123,L6b VISp Mup5,,L6b
903814839,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
907296441,L5 IT VISp Whrn Tox2,,L4/L5 IT
882839228,L5 IT VISp Batf3,,L5 IT-1
908537533,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
941579967,L6 CT VISp Ctxn3 Sla,,L6 CT-1
645451457,L6 IT VISp Col18a1,,
850968263,L5 IT VISp Col6a1 Fezf2,L5 IT-2,L5 IT-2
866049737,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
912572106,L6 IT VISp Penk Fst,,
992009934,L6 IT VISp Col18a1,,L6 IT-2
927575762,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
645373650,L5 ET VISp Lgr5,,L5 ET-2
977051346,L6b VISp Mup5,,L6b
906739413,L6 CT VISp Ctxn3 Sla,,L6 CT-1
903868118,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
904040156,L6 IT VISp Col18a1,,L6 IT-2
989351643,L6b P2ry12,L6b,L6b
884801248,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
1010667236,L6b P2ry12,,L6b
1039503078,L6b P2ry12,L6b,L6b
935214823,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
906587880,L5 IT VISp Batf3,,L5 IT-1
992390889,L5 IT VISp Batf3,,L5 IT-1
908615401,L5 ET VISp Krt80,,L5 ET-2
947363567,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
834060016,L6 CT VISp Ctxn3 Sla,,L6 CT-1
975392497,L6 IT VISp Car3,L5/L6 IT Car3,L5/L6 IT Car3
992227058,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
912953077,L2/3 IT VISp Rrad,,L2/3 IT
910892791,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
867147516,L5 ET VISp Krt80,,L5 ET-3
880889599,L4 IT VISp Rspo1,,L4 IT
652959487,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
647401222,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
899424012,L6 IT VISp Col18a1,L6 IT-1,L6 IT-1
971607823,L6 IT VISp Penk Col27a1,,L6 IT-2
978571024,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
853511959,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
899452696,L5 IT VISp Col6a1 Fezf2,L5 IT-2,L5 IT-2
902311705,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
667328279,L2/3 IT VISp Rrad,,L2/3 IT
645144344,L4 IT VISp Rspo1,,L4 IT
904625947,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
638988062,L4 IT VISp Rspo1,,L4 IT
705302304,L2/3 IT VISp Agmat,,L2/3 IT
921759520,L6 IT VISp Penk Col27a1,,
899583778,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
952786723,L5 IT VISp Whrn Tox2,,L4/L5 IT
902352680,L6 CT VISp Ctxn3 Sla,,L6 CT-1
863465258,L6 CT VISp Krt80 Sla,,L6 CT-2
882302773,L6 IT VISp Penk Col27a1,,
639881020,L4 IT VISp Rspo1,,L4 IT
818818876,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
961118012,L5 NP VISp Trhr Met,,L5 NP
904601405,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
987168573,L6 IT VISp Penk Fst,,L6 IT-2
972447551,L6 IT VISp Col23a1 Adamts2,L6 IT-1,L6 IT-1
966795074,L5 IT VISp Batf3,,L5 IT-1
863440707,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
982757189,L5 IT VISp Whrn Tox2,,L4/L5 IT
824909637,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
901160774,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
903831367,L6 CT VISp Krt80 Sla,L6 CT-2,L6 CT-2
987172681,L5 ET VISp Krt80,,L5 ET-3
882458442,L6 IT VISp Col18a1,,
908894026,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
984092499,L5 ET VISp Krt80,,L5 ET-3
642998101,L5 ET VISp Krt80,,L5 ET-3
983936858,L5 NP VISp Trhr Met,L5 NP,L5 NP
929406809,L6 CT VISp Gpr139,L6 CT-2,L6 CT-2
926949214,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
907087713,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
999853927,L2/3 IT VISp Agmat,,L2/3 IT
902074217,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
962355052,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
764497776,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
901103472,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
742023028,L6 IT VISp Penk Fst,L6 IT-1,L6 IT-1
643825527,L4 IT VISp Rspo1,,L4 IT
951537534,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
1010970495,L6 CT VISp Gpr139,L6 CT-2,L6 CT-2
639242112,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
992219017,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
1036070797,L6b VISp Mup5,,L6b
904941454,L6 CT VISp Ctxn3 Sla,,L6 CT-1
902311826,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
924610453,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
992399256,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
902332313,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
902340506,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
966610848,L6 CT VISp Ctxn3 Sla,,L6 CT-1
950075297,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
899674024,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
830652329,L5 IT VISp Batf3,,L5 IT-1
901369771,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
948318130,L6 IT VISp Col18a1,L6 IT-2,L6 IT-2
945758130,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
969301940,L6 IT VISp Penk Col27a1,L6 IT-1,L6 IT-1
909586358,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
646574007,L6 CT VISp Ctxn3 Sla,,L6 CT-1
907485112,L6 CT VISp Ctxn3 Sla,,L6 CT-1
898658234,L5 IT VISp Batf3,,L5 IT-1
904683452,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
829296573,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
650346437,L6b VISp Mup5,,L6b
957337542,L5 IT VISp Col27a1,,L5 IT-3 Pld5
990236615,L5 ET VISp C1ql2 Cdh13,L5 ET-3,L5 ET-3
811347913,L6 CT VISp Gpr139,,L6 CT-2
963190732,L2/3 IT VISp Agmat,,L2/3 IT
990527437,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
958619600,L5 NP VISp Trhr Met,L5 NP,L5 NP
899502033,L5 IT VISp Col6a1 Fezf2,,L5 IT-2
995565521,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
896118739,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
864030679,L6 CT VISp Gpr139,L6 CT-2,L6 CT-2
957104091,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
706461666,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
963325924,L5 ET VISp Chrna6,,L5 ET-1 Chrna6
826765287,L5 ET VISp Chrna6,L5 ET-1 Chrna6,L5 ET-1 Chrna6
950255593,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
942395372,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
628756464,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
910864371,L6 IT VISp Col18a1,,
643002356,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
948277237,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
972492789,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
902029302,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
826798072,L5 ET VISp Lgr5,,L5 ET-3
645369849,L4 IT VISp Rspo1,,L4 IT
831254527,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
